user_id,job_id,event_type,occurred_at
43,45,CLICK_FROM_RECOMMENDED,1707626319
12,34,CLICK_FROM_RECOMMENDED,1709008066
27,82,SAVE,1705291560
23,66,CLICK_FROM_SEARCH,1706017536
39,57,SAVE,1706998417
38,54,CLICK_FROM_SEARCH,1707747893
16,78,CLICK_FROM_SEARCH,1704228987
50,70,CLICK_FROM_SEARCH,1708345205
47,15,CLICK_FROM_SEARCH,1705826678
49,50,CLICK_FROM_RECOMMENDED,1707494674
18,12,CLICK_FROM_SEARCH,1704507655
12,49,CLICK_FROM_RECOMMENDED,1708595179
3,96,CLICK_FROM_SEARCH,1705794225
9,37,SAVE,1705792446
14,95,CLICK_FROM_SEARCH,1708993875
25,47,SAVE,1705172238
44,53,SAVE,1706137785
6,55,SAVE,1707607824
9,93,SAVE,1708104066
9,32,CLICK_FROM_RECOMMENDED,1707524742
32,48,SAVE,1704409059
47,52,APPLY,1704603972
21,16,CLICK_FROM_SEARCH,1707827718
29,13,SAVE,1705994925
49,27,CLICK_FROM_RECOMMENDED,1709054238
44,14,SAVE,1705760788
17,89,CLICK_FROM_RECOMMENDED,1708053810
32,36,SAVE,1706845417
27,19,CLICK_FROM_RECOMMENDED,1707226029
47,14,APPLY,1706560058
32,1,APPLY,1707236792
49,95,SAVE,1704381180
42,24,SAVE,1706237687
29,7,CLICK_FROM_RECOMMENDED,1705539631
3,99,APPLY,1705635494
33,39,CLICK_FROM_RECOMMENDED,1708659761
26,64,APPLY,1708043741
45,43,SAVE,1706109384
18,66,APPLY,1707436375
36,66,SAVE,1704074330
23,44,SAVE,1708864098
24,54,SAVE,1707441909
11,57,SAVE,1706474805
25,94,CLICK_FROM_SEARCH,1708771443
39,44,CLICK_FROM_RECOMMENDED,1705106830
35,35,CLICK_FROM_RECOMMENDED,1707800984
3,5,CLICK_FROM_SEARCH,1706245647
25,3,APPLY,1706236565
9,78,CLICK_FROM_RECOMMENDED,1706517296
37,98,APPLY,1704931508
33,30,SAVE,1705280916
13,11,SAVE,1706144055
23,91,SAVE,1704081850
15,3,CLICK_FROM_RECOMMENDED,1704975111
43,46,APPLY,1705143815
38,46,SAVE,1708567859
4,74,CLICK_FROM_RECOMMENDED,1706472448
44,45,SAVE,1706217191
15,79,CLICK_FROM_SEARCH,1705198269
6,24,SAVE,1708431442
9,63,APPLY,1706718256
25,83,CLICK_FROM_RECOMMENDED,1707917291
43,33,SAVE,1704545284
33,28,CLICK_FROM_SEARCH,1707173233
41,3,CLICK_FROM_SEARCH,1709206925
1,52,CLICK_FROM_RECOMMENDED,1704302354
15,43,CLICK_FROM_SEARCH,1707424935
25,99,CLICK_FROM_SEARCH,1706514790
31,74,APPLY,1705752716
11,60,CLICK_FROM_SEARCH,1706806089
24,64,SAVE,1705693197
47,46,SAVE,1706518533
4,65,CLICK_FROM_RECOMMENDED,1705073792
45,65,SAVE,1706819665
35,98,CLICK_FROM_RECOMMENDED,1706425912
5,63,CLICK_FROM_RECOMMENDED,1704990725
13,13,CLICK_FROM_RECOMMENDED,1706419481
2,53,SAVE,1706966867
10,47,CLICK_FROM_SEARCH,1709049379
18,64,CLICK_FROM_RECOMMENDED,1708009402
32,43,CLICK_FROM_RECOMMENDED,1706403155
19,97,CLICK_FROM_SEARCH,1707764746
34,85,CLICK_FROM_SEARCH,1704147901
39,25,CLICK_FROM_SEARCH,1705402668
13,32,CLICK_FROM_SEARCH,1707294842
29,25,APPLY,1709156923
45,97,SAVE,1705574330
12,7,CLICK_FROM_SEARCH,1705800157
23,41,CLICK_FROM_SEARCH,1704103157
30,25,CLICK_FROM_SEARCH,1705467232
49,16,CLICK_FROM_RECOMMENDED,1705986463
45,14,CLICK_FROM_SEARCH,1705383671
18,75,SAVE,1704654385
28,59,SAVE,1707294669
45,35,CLICK_FROM_SEARCH,1708894606
21,65,CLICK_FROM_SEARCH,1707487351
40,29,SAVE,1706763321
28,44,APPLY,1709217381
28,96,SAVE,1705291635
8,41,APPLY,1704325262
9,56,SAVE,1708465397
5,93,APPLY,1707517229
36,13,SAVE,1708657649
46,37,APPLY,1705930169
25,71,APPLY,1706948979
46,8,CLICK_FROM_RECOMMENDED,1704400353
33,30,CLICK_FROM_RECOMMENDED,1705862677
11,83,SAVE,1705229920
7,67,CLICK_FROM_SEARCH,1708294493
11,57,APPLY,1705578655
33,30,SAVE,1708790917
41,39,SAVE,1708696264
35,72,CLICK_FROM_RECOMMENDED,1707212676
1,12,CLICK_FROM_SEARCH,1707855200
26,50,SAVE,1704220105
7,89,CLICK_FROM_SEARCH,1707712001
24,91,APPLY,1704881642
13,61,SAVE,1705223287
24,88,SAVE,1708602353
46,62,SAVE,1704384943
44,87,CLICK_FROM_SEARCH,1704687827
5,79,CLICK_FROM_SEARCH,1705702403
37,24,CLICK_FROM_SEARCH,1708593907
18,8,SAVE,1709189197
47,13,APPLY,1706846019
4,70,CLICK_FROM_SEARCH,1705563946
44,81,CLICK_FROM_SEARCH,1706858759
8,95,CLICK_FROM_SEARCH,1708858688
25,18,APPLY,1707757032
16,21,CLICK_FROM_RECOMMENDED,1708367196
48,43,CLICK_FROM_SEARCH,1705245332
45,22,CLICK_FROM_RECOMMENDED,1708670424
34,35,CLICK_FROM_SEARCH,1706865647
33,66,APPLY,1705177851
1,55,APPLY,1708815761
15,48,APPLY,1704850250
27,32,CLICK_FROM_RECOMMENDED,1704496975
28,38,SAVE,1706378950
12,55,SAVE,1708180092
9,25,CLICK_FROM_RECOMMENDED,1704583345
33,99,CLICK_FROM_SEARCH,1704831155
23,14,CLICK_FROM_SEARCH,1706963001
22,43,CLICK_FROM_SEARCH,1706573404
2,100,CLICK_FROM_SEARCH,1707159316
33,35,APPLY,1708779896
16,9,SAVE,1707558356
15,65,APPLY,1704844348
1,16,SAVE,1706201216
50,90,APPLY,1704751619
25,39,APPLY,1708314514
49,55,CLICK_FROM_SEARCH,1704930870
31,17,CLICK_FROM_SEARCH,1704322768
42,46,SAVE,1705520527
18,87,SAVE,1706948164
3,12,CLICK_FROM_SEARCH,1705081193
18,66,CLICK_FROM_SEARCH,1706144939
9,26,SAVE,1704447053
6,94,CLICK_FROM_SEARCH,1706034717
25,44,CLICK_FROM_RECOMMENDED,1705143094
17,25,SAVE,1704933976
19,48,SAVE,1704305979
17,79,CLICK_FROM_RECOMMENDED,1705016189
28,52,CLICK_FROM_RECOMMENDED,1704690798
33,5,SAVE,1705001847
13,75,SAVE,1706348204
14,8,APPLY,1707949968
15,98,SAVE,1705640959
24,72,CLICK_FROM_SEARCH,1708102828
24,34,SAVE,1707261227
1,100,CLICK_FROM_RECOMMENDED,1708422083
41,40,SAVE,1707675127
39,98,CLICK_FROM_SEARCH,1706159128
1,24,CLICK_FROM_SEARCH,1707770632
20,94,CLICK_FROM_SEARCH,1709205789
10,31,CLICK_FROM_SEARCH,1707617839
45,89,CLICK_FROM_RECOMMENDED,1708492976
43,82,APPLY,1704673603
5,41,APPLY,1704328887
12,75,SAVE,1704234365
11,93,SAVE,1705946986
23,95,CLICK_FROM_SEARCH,1709133846
17,61,CLICK_FROM_RECOMMENDED,1707381959
20,3,SAVE,1709077720
9,43,CLICK_FROM_SEARCH,1704232294
3,13,CLICK_FROM_RECOMMENDED,1705361347
12,94,CLICK_FROM_SEARCH,1704746450
4,22,APPLY,1707398312
27,69,SAVE,1708417378
6,98,CLICK_FROM_RECOMMENDED,1706571384
31,15,CLICK_FROM_SEARCH,1704472980
43,39,CLICK_FROM_SEARCH,1707274566
2,97,APPLY,1707892134
16,45,CLICK_FROM_RECOMMENDED,1705885348
29,59,CLICK_FROM_RECOMMENDED,1706016083
5,67,CLICK_FROM_SEARCH,1704963553
11,1,CLICK_FROM_RECOMMENDED,1706453207
23,41,CLICK_FROM_RECOMMENDED,1704963486
39,64,APPLY,1707726906
8,79,CLICK_FROM_SEARCH,1706127966
11,9,CLICK_FROM_SEARCH,1705629243
